VM,Powerstate,Template,Host,Cluster,Datacenter,OS,ToolsStatus,IPAddresses,DNSName,VMUUID,Notes
P-DLAB-01,poweredOn,,,,,,,,,,
P-HIKCENTRAL-01,poweredOn,,,,,,,,,,
P-APP-ORPHEUS-01,poweredOn,,,,,,,,,,
P-APP-LIB-01,poweredOn,,,,,,,,,,
P-RADFS4-03,poweredOff,,,,,,,,,,
P-TRAPS-01,poweredOff,,,,,,,,,,
P-PROOFPOINT-02,poweredOff,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,,,,,,,,,,
P-UCS-01,poweredOn,,,,,,,,,,
T-ZSCALER-01,poweredOn,,,,,,,,,,
P-WORDPRESS-OL-02,poweredOn,,,,,,,,,,
T-THALES-TKN-01,poweredOn,,,,,,,,,,
P-ZB-PROXY-02,poweredOn,,,,,,,,,,
P-ZB-PROXY-OL9-01,poweredOn,,,,,,,,,,
P-NSS-02,poweredOn,,,,,,,,,,
T-DB-GALERA-0L95-01,poweredOn,,,,,,,,,,
P-HUBI-PYTHON-OLNX-01,poweredOn,,,,,,,,,,
P-APP-INFOREDESTI-01,poweredOn,,,,,,,,,,
P-ARBITRAJE-01,poweredOn,,,,,,,,,,
P-WORDPRESS-OL-01,poweredOn,,,,,,,,,,
P-IMP-GW-WAF-02,poweredOn,,,,,,,,,,
P-MONITOREO-UCS,poweredOn,,,,,,,,,,
P-ZB-PROXY-01,poweredOn,,,,,,,,,,
P-BAN9-APP-04,poweredOn,,,,,,,,,,
T-APP-ORPHEUS-01,poweredOn,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,,,,,,,,,,
T-APP-LIB-01,poweredOn,,,,,,,,,,
P-QUALYS-02,poweredOn,,,,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,,,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,,,,,,,,,,
P-ACR-CLOUD-04,poweredOn,,,,,,,,,,
T-THALES-CTM-01,poweredOn,,,,,,,,,,
P-NESSUS-01,poweredOn,,,,,,,,,,
P-ENGINE-GIZ-01,poweredOn,,,,,,,,,,
P-ZB-GRAFANA-01,poweredOn,,,,,,,,,,
P-BAN9-BATCH-01,poweredOn,,,,,,,,,,
P-BAN9-APP-03,poweredOn,,,,,,,,,,
P-BAN9-ETHOS-01,poweredOn,,,,,,,,,,
P-NSS-01,poweredOn,,,,,,,,,,
P-RADIUS-02,poweredOn,,,,,,,,,,
T-FORTIDATA-01,poweredOn,,,,,,,,,,
P-ZB-PROXY-OL9-02,poweredOn,,,,,,,,,,
T-DB-GALERA-OL95-02,poweredOn,,,,,,,,,,
P-BIBREPO-OLNX-01,poweredOn,,,,,,,,,,
P-DB-GALERA-OL9-02,poweredOn,,,,,,,,,,
